_id,donation_a_pets,donation_b_art,donation_c_education,donation_d_environment,donation_e_health,donation_f_human,donation_g_international,donation_h_faith,donation_i_veteran,time,userId
5e62bf3aef25df51135385a6,0,0,12,0,12,11,0,0,0,23:06.2,5e62bc5def25df51135385a3
5e62c70def25df51135385af,0,0,0,5,0,0,0,0,0,56:29.8,5e62c4156ffda4487364f751
5e62cde36ffda4487364f75a,10,0,0,0,0,0,0,5,5,25:39.2,5e62c99c6ffda4487364f757
5e62cf4b6ffda4487364f75c,0,0,0,0,0,0,0,0,0,31:39.6,5e62ceb06ffda4487364f75b
5e62d1ba6ffda4487364f75f,0,0,0,5,5,5,0,0,0,42:02.1,5e62cfd5ef25df51135385b9
5e62d7fdef25df51135385bf,2,0,0,0,5,5,0,0,5,08:45.6,5e62d3746ffda4487364f760
5e636716ab9c7a51ed5b57e6,3,1,10,15,2,2,0,0,2,19:18.7,5e6363eaab9c7a51ed5b57e2
5e63ffdbb7375d865ecb6e5f,0,0,0,0,0,0,0,0,0,11:07.8,5e63fde404f53cb40efd2cdb
5e6411a9789957f84988d134,0,0,0,10,10,5,0,0,10,27:05.8,5e641008789957f84988d12b
5e6411fa789957f84988d13c,0,0,0,0,0,0,0,0,0,28:26.6,5e640f66ae7e33fbc93cdd0b
5e6412cb789957f84988d140,0,0,0,0,0,0,0,0,0,31:55.9,5e641122789957f84988d131
5e641352789957f84988d141,0,0,0,0,0,5,5,0,0,34:10.4,5e640f2eae7e33fbc93cdd09
5e641593789957f84988d144,0,0,0,0,0,0,0,0,0,43:47.2,5e641507ae7e33fbc93cdd19
5e641842789957f84988d149,10,0,0,10,10,0,0,0,5,55:14.3,5e64113fae7e33fbc93cdd10
5e641875ae7e33fbc93cdd22,0,0,0,0,0,0,0,0,0,56:05.3,5e64160e789957f84988d146
5e6425c4227b657a749950e4,4,0,0,4,0,4,0,0,0,52:53.0,5e64217364a3fd81b68688f3
5e642cf764a3fd81b68688f9,0,0,0,0,0,15,0,0,10,23:35.6,5e642789227b657a749950e5
5e647a7bbec095b4abe6d64b,0,0,0,0,0,0,0,0,15,54:19.9,5e6478e6f5e822730e8d725e
5e648f4c23530f5bd5b24199,0,0,2,0,0,2,0,0,0,23:08.1,5e6488ec23530f5bd5b24194
5e64b313a178bbb7c3b63322,5,0,0,0,0,5,0,0,0,55:47.2,5e64adba54fc700d6d481f58
5e64b594a178bbb7c3b63325,0,0,0,0,0,0,0,0,0,06:28.5,5e64b02354fc700d6d481f59
5e64e095f1e90e2fed0f2376,0,0,0,10,0,0,0,0,0,09:57.0,5e64db6e8fa94cf0fc4d2da8
5e64f3389472cb582b7b95c7,0,0,0,0,3,5,0,0,27,29:28.8,5e64eeea15730e913ec09a2f
5e64f6c415730e913ec09a3a,0,0,0,0,0,0,0,0,0,44:36.4,5e64f5799472cb582b7b95ca
5e64faaf9472cb582b7b95d1,0,0,0,5,0,0,0,0,0,01:19.0,5e64f7239472cb582b7b95cd
5e65058f9472cb582b7b95d7,0,0,0,5,0,5,0,0,0,47:43.5,5e6501599472cb582b7b95d2
5e650a1d9472cb582b7b95da,5,5,0,0,5,5,5,5,5,07:09.2,5e65081715730e913ec09a43
5e650fb59472cb582b7b95de,5,0,5,5,5,5,5,0,5,31:01.6,5e650f1015730e913ec09a47
5e6524ddb07dd22d67cbf0ec,25,0,0,0,0,0,0,0,0,01:17.8,5e6520fbb07dd22d67cbf0e7
5e652ad75e86b96e9cad592c,0,0,0,0,0,0,0,0,0,26:47.9,5e6526795e86b96e9cad5926
